date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
08.11.2020,2020,usa,mls-2020,Houston Dynamo,Colorado Rapids,1.99,4.13,3.32,1.38,3.09,1.39,2.95,https://www.oddsportal.com/soccer/usa/mls-2020/houston-dynamo-colorado-rapids-CfQrJpTP/,2,3,1
07.03.2020,2020,usa,mls-2020,FC Dallas,Club de Foot Montreal,1.55,4.29,5.8,1.66,2.30,1.7,2.13,https://www.oddsportal.com/soccer/usa/mls-2020/fc-dallas-club-de-foot-montreal-rX7rQO5T/,0,4,1
11.10.2020,2020,usa,mls-2020,Philadelphia Union,Club de Foot Montreal,1.63,4.38,4.91,1.48,2.70,1.54,2.45,https://www.oddsportal.com/soccer/usa/mls-2020/philadelphia-union-club-de-foot-montreal-8MuNW3cP/,1,3,1
29.10.2020,2020,usa,mls-2020,Los Angeles FC,Houston Dynamo,1.51,4.91,5.57,1.33,3.34,1.44,2.75,https://www.oddsportal.com/soccer/usa/mls-2020/los-angeles-fc-houston-dynamo-C4kcvUrU/,1,3,1
29.02.2020,2020,usa,mls-2020,Orlando City,Real Salt Lake,2.01,3.47,3.73,1.97,1.89,1.77,2.04,https://www.oddsportal.com/soccer/usa/mls-2020/orlando-city-real-salt-lake-tdVyzilS/,0,0,0
07.10.2020,2020,usa,mls-2020,New York Red Bulls,Inter Miami,2.34,3.66,2.89,1.69,2.25,1.58,2.35,https://www.oddsportal.com/soccer/usa/mls-2020/new-york-red-bulls-inter-miami-GOWPAVgk/,2,3,1
19.08.2020,2020,usa,mls-2020,Toronto FC,Vancouver Whitecaps,1.3,6.07,8.97,1.38,3.15,1.67,2.17,https://www.oddsportal.com/soccer/usa/mls-2020/toronto-fc-vancouver-whitecaps-YXvuwuKb/,1,3,0
28.09.2020,2020,usa,mls-2020,Minnesota United,Real Salt Lake,1.91,3.93,3.7,1.57,2.46,1.54,2.44,https://www.oddsportal.com/soccer/usa/mls-2020/minnesota-united-real-salt-lake-tfUUVxVL/,0,0,0
26.09.2020,2020,usa,mls-2020,New York City,FC Cincinnati,1.55,4.13,6.26,1.90,1.95,1.95,1.83,https://www.oddsportal.com/soccer/usa/mls-2020/new-york-city-fc-cincinnati-ARi172n4/,1,4,0
08.03.2020,2020,usa,mls-2020,Los Angeles Galaxy,Vancouver Whitecaps,1.42,4.99,6.93,1.39,3.06,1.55,2.42,https://www.oddsportal.com/soccer/usa/mls-2020/los-angeles-galaxy-vancouver-whitecaps-MeKbSanJ/,2,1,0
02.11.2020,2020,usa,mls-2020,Toronto FC,Inter Miami,2.59,3.68,2.57,1.65,2.32,1.54,2.46,https://www.oddsportal.com/soccer/usa/mls-2020/toronto-fc-inter-miami-IcdjWT2q/,1,3,1
