date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
03.12.2017,2017,portugal,ligapro-2017-2018,CD Cova da Piedade,Covilha,2.36,2.87,3.49,2.64,1.47,2.17,1.66,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/cova-de-piedade-covilha-YcAnWY2b/#1X2;2,1,1,0
19.08.2017,2017,portugal,ligapro-2017-2018,Covilha,Vitoria Guimaraes B,1.77,3.36,4.94,2.13,1.71,1.99,1.89,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/covilha-vitoria-guimaraes-KYhv2KEU/#1X2;2,1,3,1
11.04.2018,2018,portugal,ligapro-2017-2018,Santa Clara,Arouca,2.08,3.08,3.88,2.50,1.52,2.16,1.69,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/santa-clara-arouca-bgebRJzD/#1X2;2,0,0,0
14.01.2018,2018,portugal,ligapro-2017-2018,Gil Vicente,FC Porto B,2.78,3.06,2.41,1.92,1.92,1.69,2.1,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/gil-vicente-fc-porto-AJcrFzTa/#1X2;2,2,1,0
26.11.2017,2017,portugal,ligapro-2017-2018,FC Porto B,Academica,2.43,3.4,2.82,1.84,1.99,1.63,2.2,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/fc-porto-academica-bH3BY67a/#1X2;2,2,3,1
07.10.2017,2017,portugal,ligapro-2017-2018,Penafiel,Academica,2.5,3.15,2.9,2.20,1.69,1.89,1.9,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/penafiel-academica-A1hnlh6g/#1X2;2,0,0,0
01.11.2017,2017,portugal,ligapro-2017-2018,Oliveirense,Academica,2.92,3.26,2.43,2.08,1.79,1.81,1.98,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/oliveirense-academica-fBLUPxPR/#1X2;2,2,2,0
18.02.2018,2018,portugal,ligapro-2017-2018,Real SC,Benfica B,2.14,3.31,3.02,1.69,2.12,1.56,2.33,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/real-sc-benfica-WOncqwv8/#1X2;2,1,6,1
10.12.2017,2017,portugal,ligapro-2017-2018,Benfica B,Sporting B,2.48,3.4,2.69,1.63,2.28,1.53,2.43,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/benfica-sporting-lisbon-MNrzNUPp/#1X2;2,1,3,1
21.01.2018,2018,portugal,ligapro-2017-2018,Famalicao,Penafiel,2.36,3.05,3.24,2.24,1.66,1.91,1.89,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/famalicao-penafiel-OdhMQXRB/#1X2;2,2,3,1
18.02.2018,2018,portugal,ligapro-2017-2018,Varzim,Famalicao,2.3,2.87,3.56,2.50,1.54,2.05,1.74,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/varzim-famalicao-zcDwhVs8/#1X2;2,1,2,0
11.04.2018,2018,portugal,ligapro-2017-2018,U. Madeira,Nacional,3.42,3.48,2.02,1.78,1.98,1.65,2.13,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/u-madeira-nacional-AXOGq1js/#1X2;2,2,4,1
12.05.2018,2018,portugal,ligapro-2017-2018,Oliveirense,Arouca,1.58,4.17,5.44,1.79,2.04,1.85,1.94,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/oliveirense-arouca-SCoamt97/#1X2;2,1,4,1
29.10.2017,2017,portugal,ligapro-2017-2018,CD Cova da Piedade,Academico Viseu,2.47,2.94,2.97,2.28,1.64,1.89,1.82,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/cova-de-piedade-academico-viseu-beAWGstc/#1X2;2,0,0,0
19.08.2017,2017,portugal,ligapro-2017-2018,Famalicao,Benfica B,1.81,3.55,4.14,1.81,2.02,1.67,2.25,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/famalicao-benfica-WCMdK1Ub/#1X2;2,0,0,0
16.12.2017,2017,portugal,ligapro-2017-2018,Vitoria Guimaraes B,Benfica B,2.6,3.44,2.58,1.62,2.22,1.56,2.37,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/vitoria-guimaraes-benfica-2DICgT0M/#1X2;2,1,1,0
25.02.2018,2018,portugal,ligapro-2017-2018,Benfica B,CD Cova da Piedade,2.11,3.59,3.25,1.69,2.20,1.6,2.32,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/benfica-cova-de-piedade-YiHeb64s/#1X2;2,0,2,1
22.12.2017,2017,portugal,ligapro-2017-2018,CD Cova da Piedade,Academica,3.37,2.98,2.23,2.33,1.60,2.0,1.79,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/cova-de-piedade-academica-xQqr9809/#1X2;2,1,3,1
28.10.2017,2017,portugal,ligapro-2017-2018,Real SC,Braga B,2.32,3.03,3.06,2.02,1.81,1.75,2.06,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/real-sc-braga-W88vFLA9/#1X2;2,2,4,1
07.01.2018,2018,portugal,ligapro-2017-2018,Penafiel,Covilha,1.99,3.04,4.18,2.36,1.59,2.11,1.73,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/penafiel-covilha-O2Z02cqf/#1X2;2,2,1,0
29.10.2017,2017,portugal,ligapro-2017-2018,U. Madeira,Oliveirense,1.74,3.49,5.03,2.01,1.77,1.88,1.83,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/u-madeira-oliveirense-xAmJ7w3q/#1X2;2,1,1,0
10.12.2017,2017,portugal,ligapro-2017-2018,Academico Viseu,Braga B,1.78,3.62,4.6,1.95,1.89,1.85,1.97,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/academico-viseu-braga-O0rYsW1A/#1X2;2,1,3,1
26.11.2017,2017,portugal,ligapro-2017-2018,Covilha,Real SC,1.82,3.46,4.59,2.05,1.79,1.93,1.85,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/covilha-real-sc-YVmVhygE/#1X2;2,0,0,0
17.12.2017,2017,portugal,ligapro-2017-2018,Academica,Covilha,1.63,3.57,6.18,2.30,1.63,2.24,1.64,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/academica-covilha-GbNCzlfp/#1X2;2,1,2,0
15.04.2018,2018,portugal,ligapro-2017-2018,Academico Viseu,U. Madeira,1.5,4.18,6.43,1.89,1.95,1.98,1.84,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/academico-viseu-u-madeira-nTGR10CP/#1X2;2,2,4,1
18.02.2018,2018,portugal,ligapro-2017-2018,U. Madeira,Santa Clara,3.1,3.01,2.45,2.35,1.59,1.95,1.81,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/u-madeira-santa-clara-0vcIpmzr/#1X2;2,2,1,0
29.04.2018,2018,portugal,ligapro-2017-2018,Covilha,Academica,4.38,3.29,1.91,2.27,1.60,2.03,1.75,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/covilha-academica-8QB43DmU/#1X2;2,2,1,0
21.10.2017,2017,portugal,ligapro-2017-2018,Famalicao,Academico Viseu,2.27,3.1,3.31,2.20,1.66,1.9,1.89,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/famalicao-academico-viseu-GIug3OBc/#1X2;2,2,1,0
22.04.2018,2018,portugal,ligapro-2017-2018,Braga B,Academico Viseu,2.44,3.2,2.93,1.93,1.91,1.69,2.09,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/braga-academico-viseu-voKm7el5/#1X2;2,0,4,1
12.05.2018,2018,portugal,ligapro-2017-2018,Benfica B,FC Porto B,1.58,3.79,4.91,1.50,2.52,1.53,2.42,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/benfica-fc-porto-dS9M4svr/#1X2;2,1,3,0
17.12.2017,2017,portugal,ligapro-2017-2018,Santa Clara,Oliveirense,1.62,3.77,5.5,1.92,1.90,1.92,1.87,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/santa-clara-oliveirense-Ye9rl7Oq/#1X2;2,0,0,0
29.04.2018,2018,portugal,ligapro-2017-2018,Varzim,Sporting B,1.74,3.73,4.69,1.80,2.05,1.73,2.06,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/varzim-sporting-lisbon-vPISdgt4/#1X2;2,1,2,0
19.08.2017,2017,portugal,ligapro-2017-2018,FC Porto B,Penafiel,1.87,3.49,4.1,1.88,1.92,1.73,2.15,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/fc-porto-penafiel-bPDDGJTN/#1X2;2,1,4,1
21.12.2017,2017,portugal,ligapro-2017-2018,Sporting B,Vitoria Guimaraes B,2.09,3.12,3.31,1.77,2.02,1.64,2.23,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/sporting-lisbon-vitoria-guimaraes-8C6Fj0pr/#1X2;2,2,3,1
22.04.2018,2018,portugal,ligapro-2017-2018,Santa Clara,Famalicao,1.49,4.0,7.36,2.22,1.67,2.37,1.57,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/santa-clara-famalicao-ldRzAc4n/#1X2;2,1,2,0
26.11.2017,2017,portugal,ligapro-2017-2018,Academico Viseu,Varzim,1.78,3.39,4.53,2.15,1.66,2.01,1.82,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/academico-viseu-varzim-YZeOV4iI/#1X2;2,0,0,0
21.10.2017,2017,portugal,ligapro-2017-2018,Leixoes,Academica,2.36,3.13,3.15,2.24,1.65,1.92,1.88,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/leixoes-academica-SMMEb0QS/#1X2;2,1,1,0
17.12.2017,2017,portugal,ligapro-2017-2018,Leixoes,Nacional,2.22,3.12,3.41,2.21,1.69,1.87,1.86,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/leixoes-nacional-YXQecB1c/#1X2;2,0,4,1
16.04.2018,2018,portugal,ligapro-2017-2018,FC Porto B,Sporting B,1.85,3.91,3.86,1.52,2.42,1.53,2.48,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/fc-porto-sporting-lisbon-QsfEhdZB/#1X2;2,2,2,0
14.01.2018,2018,portugal,ligapro-2017-2018,Penafiel,Nacional,2.26,2.96,3.28,2.08,1.77,1.79,1.92,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/penafiel-nacional-vVJaNbLJ/#1X2;2,2,3,0
15.04.2018,2018,portugal,ligapro-2017-2018,Braga B,Vitoria Guimaraes B,2.05,3.32,3.68,1.98,1.82,1.83,2.0,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/braga-vitoria-guimaraes-d22cdvzm/#1X2;2,1,4,1
09.12.2017,2017,portugal,ligapro-2017-2018,Famalicao,Santa Clara,2.32,3.05,3.31,2.29,1.63,1.93,1.87,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/famalicao-santa-clara-YBkLpYHi/#1X2;2,1,7,1
25.04.2018,2018,portugal,ligapro-2017-2018,Academica,FC Porto B,1.36,5.11,8.01,1.59,2.36,1.84,1.96,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/academica-fc-porto-2usOsuLg/#1X2;2,1,1,0
06.01.2018,2018,portugal,ligapro-2017-2018,FC Porto B,Benfica B,1.69,4.07,4.48,1.57,2.39,1.58,2.32,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/fc-porto-benfica-pCzc3wUm/#1X2;2,1,4,1
07.04.2018,2018,portugal,ligapro-2017-2018,Penafiel,Benfica B,1.61,4.12,5.05,1.74,2.13,1.73,2.09,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/penafiel-benfica-ltFt0JhD/#1X2;2,0,2,1
04.03.2018,2018,portugal,ligapro-2017-2018,Covilha,Benfica B,2.27,3.17,3.29,2.09,1.76,1.84,1.95,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/covilha-benfica-fuRJh2YI/#1X2;2,2,4,1
04.03.2018,2018,portugal,ligapro-2017-2018,Academico Viseu,Oliveirense,1.66,3.75,5.38,2.03,1.82,2.0,1.8,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/academico-viseu-oliveirense-2qXZbweh/#1X2;2,2,2,0
02.12.2017,2017,portugal,ligapro-2017-2018,Vitoria Guimaraes B,Braga B,2.44,3.25,2.9,1.91,1.90,1.69,2.09,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/vitoria-guimaraes-braga-f7BrXEmh/#1X2;2,1,4,1
10.03.2018,2018,portugal,ligapro-2017-2018,Leixoes,CD Cova da Piedade,1.78,3.4,4.99,2.30,1.62,2.07,1.71,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/leixoes-cova-de-piedade-td7EAzf4/#1X2;2,1,4,0
11.02.2018,2018,portugal,ligapro-2017-2018,Benfica B,Academico Viseu,2.37,3.25,2.78,1.84,1.99,1.63,2.2,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/benfica-academico-viseu-QN3Ei1WR/#1X2;2,2,6,1
11.02.2018,2018,portugal,ligapro-2017-2018,Nacional,Covilha,1.71,3.41,5.43,2.34,1.60,2.11,1.66,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/nacional-covilha-ncz6eqX2/#1X2;2,0,2,1
09.12.2017,2017,portugal,ligapro-2017-2018,Real SC,Academica,3.52,3.13,2.08,2.12,1.73,1.87,1.92,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/real-sc-academica-fRwUrCn4/#1X2;2,2,7,1
24.02.2018,2018,portugal,ligapro-2017-2018,Sporting B,Academica,2.75,3.21,2.41,1.88,1.96,1.67,2.13,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/sporting-lisbon-academica-UJlZt5Z6/#1X2;2,0,4,1
06.08.2017,2017,portugal,ligapro-2017-2018,Covilha,Sporting B,2.0,3.22,3.82,2.12,1.73,1.95,1.87,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/covilha-sporting-lisbon-xIcLkjP7/#1X2;2,2,3,1
18.03.2018,2018,portugal,ligapro-2017-2018,Academico Viseu,CD Cova da Piedade,1.51,3.87,7.24,2.25,1.66,2.4,1.59,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/academico-viseu-cova-de-piedade-Ug7Qxgwc/#1X2;2,1,1,0
04.03.2018,2018,portugal,ligapro-2017-2018,Braga B,Famalicao,2.12,3.16,3.66,2.27,1.65,1.94,1.86,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/braga-famalicao-x2PndyuB/#1X2;2,1,1,0
05.11.2017,2017,portugal,ligapro-2017-2018,CD Cova da Piedade,Braga B,2.03,3.21,3.99,2.19,1.69,1.91,1.83,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/cova-de-piedade-braga-8Eo4vxvL/#1X2;2,2,2,0
05.11.2017,2017,portugal,ligapro-2017-2018,Gil Vicente,Famalicao,2.41,3.0,3.19,2.28,1.63,1.9,1.83,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/gil-vicente-famalicao-xp4SYF1r/#1X2;2,2,3,1
01.11.2017,2017,portugal,ligapro-2017-2018,FC Porto B,Real SC,1.66,4.15,4.76,1.58,2.41,1.58,2.36,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/fc-porto-real-sc-0lMQQI9L/#1X2;2,1,4,1
04.03.2018,2018,portugal,ligapro-2017-2018,Varzim,Santa Clara,2.75,2.8,2.91,2.90,1.40,2.32,1.59,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/varzim-santa-clara-tzWwbcAb/#1X2;2,0,2,1
04.03.2018,2018,portugal,ligapro-2017-2018,U. Madeira,Vitoria Guimaraes B,1.88,3.37,4.31,2.15,1.70,1.95,1.81,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/u-madeira-vitoria-guimaraes-fJTR0aQu/#1X2;2,0,2,1
18.02.2018,2018,portugal,ligapro-2017-2018,Covilha,Leixoes,2.41,2.82,3.46,2.77,1.43,2.26,1.62,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/covilha-leixoes-YieQrR4f/#1X2;2,2,2,0
29.10.2017,2017,portugal,ligapro-2017-2018,Santa Clara,Penafiel,1.73,3.56,5.1,2.02,1.82,1.91,1.9,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/santa-clara-penafiel-G0nN6cIk/#1X2;2,2,3,1
21.01.2018,2018,portugal,ligapro-2017-2018,Braga B,Academica,3.09,3.09,2.25,2.15,1.71,1.82,1.96,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/braga-academica-OrDmCYCI/#1X2;2,2,3,0
12.05.2018,2018,portugal,ligapro-2017-2018,CD Cova da Piedade,U. Madeira,4.56,3.4,1.61,1.85,2.02,1.86,2.02,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/cova-de-piedade-u-madeira-SQQX1uO0/#1X2;2,1,5,1
04.02.2018,2018,portugal,ligapro-2017-2018,Famalicao,Nacional,2.65,3.2,2.67,1.98,1.84,1.68,2.08,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/famalicao-nacional-byfBZ1Aq/#1X2;2,1,5,1
10.12.2017,2017,portugal,ligapro-2017-2018,Varzim,CD Cova da Piedade,1.92,3.1,4.6,2.59,1.49,2.21,1.64,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/varzim-cova-de-piedade-bJzouUoT/#1X2;2,0,4,1
17.03.2018,2018,portugal,ligapro-2017-2018,Famalicao,Vitoria Guimaraes B,1.87,3.38,4.4,2.06,1.79,1.94,1.89,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/famalicao-vitoria-guimaraes-4CawziNF/#1X2;2,0,2,1
10.12.2017,2017,portugal,ligapro-2017-2018,Covilha,U. Madeira,2.23,2.89,3.27,2.36,1.56,2.02,1.74,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/covilha-u-madeira-zRWHoE2o/#1X2;2,1,2,0
13.08.2017,2017,portugal,ligapro-2017-2018,Gil Vicente,CD Cova da Piedade,1.91,3.43,4.12,1.91,1.93,1.76,2.12,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/gil-vicente-cova-de-piedade-xGSE9pGt/#1X2;2,2,3,1
31.03.2018,2018,portugal,ligapro-2017-2018,Real SC,FC Porto B,2.32,3.31,2.89,1.84,2.00,1.65,2.22,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/real-sc-fc-porto-l2npWsMs/#1X2;2,0,0,0
03.12.2017,2017,portugal,ligapro-2017-2018,Penafiel,Leixoes,2.13,3.22,3.62,2.12,1.74,1.87,1.95,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/penafiel-leixoes-GMaiVhI4/#1X2;2,0,2,1
04.04.2018,2018,portugal,ligapro-2017-2018,Varzim,FC Porto B,1.94,3.29,3.92,2.16,1.72,1.87,1.88,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/varzim-fc-porto-OvP4Li8M/#1X2;2,1,4,1
21.04.2018,2018,portugal,ligapro-2017-2018,Academica,Real SC,1.36,5.01,8.27,1.61,2.34,1.89,1.94,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/academica-real-sc-ABFq8yZb/#1X2;2,1,1,0
21.01.2018,2018,portugal,ligapro-2017-2018,FC Porto B,Arouca,2.43,2.98,2.89,2.30,1.62,1.94,1.84,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/fc-porto-arouca-xnHiBhSO/#1X2;2,0,2,1
18.03.2018,2018,portugal,ligapro-2017-2018,Benfica B,Gil Vicente,1.96,3.4,3.49,1.70,2.19,1.58,2.3,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/benfica-gil-vicente-8p6UyDh3/#1X2;2,2,3,1
29.01.2018,2018,portugal,ligapro-2017-2018,Vitoria Guimaraes B,Covilha,2.42,2.93,3.3,2.36,1.52,2.08,1.77,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/vitoria-guimaraes-covilha-bFpZNVBU/#1X2;2,1,3,0
14.03.2018,2018,portugal,ligapro-2017-2018,Academica,Leixoes,1.65,3.67,5.48,2.07,1.78,1.98,1.81,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/academica-leixoes-IFw8KBNS/#1X2;2,1,3,1
18.03.2018,2018,portugal,ligapro-2017-2018,Penafiel,Santa Clara,2.51,2.78,3.0,2.53,1.46,2.15,1.67,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/penafiel-santa-clara-fsvIS8Fk/#1X2;2,1,3,0
04.03.2018,2018,portugal,ligapro-2017-2018,Gil Vicente,Leixoes,2.72,3.0,2.64,2.37,1.58,1.94,1.82,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/gil-vicente-leixoes-WOOjeefH/#1X2;2,1,3,1
17.02.2018,2018,portugal,ligapro-2017-2018,Braga B,Arouca,3.07,2.87,2.45,2.74,1.44,2.23,1.61,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/braga-arouca-hYmgpJO1/#1X2;2,2,4,1
07.01.2018,2018,portugal,ligapro-2017-2018,Arouca,Oliveirense,1.71,3.44,5.6,2.29,1.64,2.17,1.66,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/arouca-oliveirense-GdCZoxaD/#1X2;2,1,3,0
01.11.2017,2017,portugal,ligapro-2017-2018,Benfica B,Santa Clara,2.79,3.46,2.44,1.58,2.40,1.5,2.54,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/benfica-santa-clara-CSuW4ym2/#1X2;2,2,4,1
09.03.2018,2018,portugal,ligapro-2017-2018,Benfica B,Academica,3.68,3.36,1.89,1.56,2.43,1.53,2.5,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/benfica-academica-jRvhgZOT/#1X2;2,2,4,0
30.09.2017,2017,portugal,ligapro-2017-2018,Academico Viseu,FC Porto B,2.01,3.16,3.46,1.90,1.88,1.7,2.09,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/academico-viseu-fc-porto-hpAxa9KB/#1X2;2,1,5,1
04.02.2018,2018,portugal,ligapro-2017-2018,Covilha,Oliveirense,1.93,3.1,4.54,2.35,1.57,2.09,1.69,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/covilha-oliveirense-6q2qvr2S/#1X2;2,0,2,1
04.02.2018,2018,portugal,ligapro-2017-2018,Academica,Santa Clara,1.73,3.43,5.38,2.23,1.67,2.13,1.69,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/academica-santa-clara-pUDzt4XF/#1X2;2,2,1,0
21.04.2018,2018,portugal,ligapro-2017-2018,U. Madeira,Covilha,1.86,3.36,4.37,2.16,1.71,1.95,1.87,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/u-madeira-covilha-xMNWAwkt/#1X2;2,1,1,0
12.08.2017,2017,portugal,ligapro-2017-2018,Academica,Braga B,2.02,3.19,3.96,2.34,1.63,2.0,1.8,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/academica-braga-80l1jNFI/#1X2;2,1,2,0
25.03.2018,2018,portugal,ligapro-2017-2018,Vitoria Guimaraes B,Santa Clara,3.24,3.22,2.3,2.08,1.69,1.9,1.87,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/vitoria-guimaraes-santa-clara-KOPZFVVq/#1X2;2,2,2,0
10.03.2018,2018,portugal,ligapro-2017-2018,Penafiel,U. Madeira,1.83,3.24,4.52,2.33,1.62,2.1,1.74,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/penafiel-u-madeira-lMAM8EOG/#1X2;2,1,2,0
01.11.2017,2017,portugal,ligapro-2017-2018,Braga B,Varzim,2.12,3.31,3.49,2.05,1.79,1.77,2.03,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/braga-varzim-QVTDTKP2/#1X2;2,1,1,0
13.01.2018,2018,portugal,ligapro-2017-2018,Sporting B,Covilha,2.27,3.13,3.36,2.20,1.69,1.89,1.89,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/sporting-lisbon-covilha-jFQHbFrJ/#1X2;2,2,1,0
10.12.2017,2017,portugal,ligapro-2017-2018,FC Porto B,Vitoria Guimaraes B,1.67,3.96,4.94,1.68,2.20,1.66,2.13,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/fc-porto-vitoria-guimaraes-pGWttAWM/#1X2;2,1,1,0
19.08.2017,2017,portugal,ligapro-2017-2018,Academico Viseu,Leixoes,2.31,3.1,3.21,2.11,1.77,1.85,2.04,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/academico-viseu-leixoes-QBF5IuaB/#1X2;2,1,3,0
31.03.2018,2018,portugal,ligapro-2017-2018,Santa Clara,Benfica B,1.4,4.79,8.3,1.75,2.05,2.02,1.75,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/santa-clara-benfica-27sQQnp2/#1X2;2,1,5,1
29.04.2018,2018,portugal,ligapro-2017-2018,FC Porto B,Braga B,2.95,3.27,2.32,1.75,2.10,1.6,2.3,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/fc-porto-braga-AZcWbXeo/#1X2;2,2,4,0
13.01.2018,2018,portugal,ligapro-2017-2018,Academica,Academico Viseu,1.89,3.31,4.4,2.26,1.65,2.06,1.73,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/academica-academico-viseu-O2eWHxqs/#1X2;2,0,2,1
21.01.2018,2018,portugal,ligapro-2017-2018,Covilha,Santa Clara,2.72,2.82,2.92,2.73,1.45,2.16,1.67,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/covilha-santa-clara-UZhIRDC5/#1X2;2,1,1,0
07.04.2018,2018,portugal,ligapro-2017-2018,Leixoes,Santa Clara,2.59,3.02,2.91,2.30,1.63,1.94,1.83,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/leixoes-santa-clara-8pn7Gvwf/#1X2;2,1,1,0
06.05.2018,2018,portugal,ligapro-2017-2018,Leixoes,Oliveirense,2.74,3.15,2.71,2.07,1.82,1.75,2.1,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/leixoes-oliveirense-KtariO9r/#1X2;2,2,1,0
06.01.2018,2018,portugal,ligapro-2017-2018,Braga B,Sporting B,1.85,3.52,4.37,1.82,2.03,1.71,2.08,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/braga-sporting-lisbon-I1jIALyE/#1X2;2,0,0,0
26.11.2017,2017,portugal,ligapro-2017-2018,Oliveirense,CD Cova da Piedade,2.41,3.01,3.18,2.28,1.63,1.89,1.91,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/oliveirense-cova-de-piedade-4f47Znhg/#1X2;2,0,2,1
02.12.2017,2017,portugal,ligapro-2017-2018,Sporting B,FC Porto B,2.51,3.36,2.74,1.68,2.22,1.57,2.34,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/sporting-lisbon-fc-porto-On3aTWnH/#1X2;2,1,3,0
31.03.2018,2018,portugal,ligapro-2017-2018,Varzim,Braga B,2.01,3.28,4.14,2.39,1.65,2.05,1.78,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/varzim-braga-4CL8kWM2/#1X2;2,0,2,1
05.05.2018,2018,portugal,ligapro-2017-2018,Academica,CD Cova da Piedade,1.38,4.63,8.4,1.79,2.06,2.02,1.79,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/academica-cova-de-piedade-A798cQWE/#1X2;2,2,3,1
06.05.2018,2018,portugal,ligapro-2017-2018,Gil Vicente,Covilha,2.98,3.16,2.47,2.41,1.57,1.96,1.8,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/gil-vicente-covilha-0xSHz3P1/#1X2;2,2,1,0
